Company Name,Head Line,Published Date,Date,Sentiment Analysis,Chatgpt 3.5,Predictions,,Stock dated one day after ,Stock dated after hold period ,Stock rate (one day after),Stock rate (after hold period),Net profit or loss,sentiment analysis score 
RELIANCE INDUSTRIES LTD.,Reliance to sell US shale gas assets,2021-11-08,2021-11-08,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of Reliance Industries in the short term as it signifies a strategic decision to sell US shale gas assets, which can lead to a potential increase in cash reserves and focus on more profitable ventures.

8 (Good)",,"2,502.00 (9 november 2021)","2,517.15 (9 may 2022)","2,502.00","2,517.15",15.15,YES
RELIANCE INDUSTRIES LTD.,Reliance buys REC Solar for $771 million,2021-10-10,2021-10-10,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of Reliance Industries in the short term as it signifies a strategic acquisition in the renewable energy sector, which can contribute positively to their long-term growth and sustainability.

8 (Good)",,"2,724.70 (11 october 2021)","2,609.80 (11 april 2022)","2,724.70","2,609.80",-114.90,NO
TATA CONSULTANCY SERVICES LTD.,Tata's Chairman promotes global MSME growth for economic advancement,2023-08-25,2023-08-25,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it showcases their commitment to promoting global MSME (Micro, Small, and Medium Enterprises) growth, which can contribute to their long-term economic advancement and profitability.

9 (Good)",,(26 august 2023),(22 february 2024),,,0,
TATA CONSULTANCY SERVICES LTD.,Tata Consulting Engineers designed and engineered units of Chandrayaan 3 launch vehicle,2023-08-24,2023-08-24,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of TATA in the short term as it highlights their involvement in a prestigious project, which can enhance their reputation and potentially lead to more government and aerospace contracts.

8 (Good)",,(25 august 2023),(23 november 2023),,,0,
TATA CONSULTANCY SERVICES LTD.,Tata Group to reportedly manufacture iPhone 15 and iPhone 15 Plus in India,2023-05-15,2023-05-15,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of TATA in the short term as it signals their involvement in manufacturing iPhones in India, which can lead to increased revenue and positive investor sentiment due to their association with a prominent global brand.

8 (Good)",,"3,262.00 (16 may 2023)","3,449.85 (14 august 2023)","3,262.00","3,449.85",187.85,YES
TATA CONSULTANCY SERVICES LTD.,Tata partners IIT Hyderabad to develop Software Defined Vehicles,2023-05-08,2023-05-08,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it signifies their collaboration with IIT Hyderabad to develop Software Defined Vehicles, which can enhance their innovation and technology portfolio, potentially attracting investors.

7 (Good)",,"3,247.00 (9 may 2023)",(5 november 2023),,,0,
TATA CONSULTANCY SERVICES LTD.,Tata Group expands in aviation Industry with Air India acquisition and Boeing-Airbus deal,2023-02-28,2023-02-28,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it signifies their expansion in the aviation industry through the acquisition of Air India and a deal with Boeing and Airbus, which can lead to potential growth and synergies.

8 (Good)",,"3,326.50 (1 march 2023)","3,375.00 (28 august 2023)","3,326.50","3,375.00",48.50,YES
TATA CONSULTANCY SERVICES LTD.,"Tata Harrier, Safari to get new 1.5L turbo petrol engine showcased at Auto Expo 2023: Details",2023-01-15,2023-01-15,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of TATA in the short term as it highlights product innovation with the introduction of a new turbo petrol engine, which can attract customers and boost sales.

7 (Good)",,412.60 (16 january 2023),471.90 (17 april 2023),412.6,471.9,59.3,YES
TATA CONSULTANCY SERVICES LTD.,Tata's 'iPhone plant' deal likely to be sealed this fiscal year,2023-01-10,2023-01-10,1,TRUE,"YES

Hold the stocks for 120 days.

This headline is good for the stock price of TATA in the short term as the potential deal to establish an 'iPhone plant' indicates a significant business opportunity, which can boost investor confidence and drive the stock price higher.

8 (Good)",,"3,289.00 (11 january 2023)","3,281.50 (11 may 2023)","3,289.00","3,281.50",-7.50,NO
TATA CONSULTANCY SERVICES LTD.,Tata Motors partners with Oracle to improve cloud infrastructure,2022-12-20,2022-12-20,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as the partnership with Oracle to improve cloud infrastructure indicates a focus on technology and efficiency, potentially enhancing their operations and competitiveness.

8 (Good)",,412.00 (21 december 2022),468.95 (19 june 2023),412,468.95,56.95,YES
TATA CONSULTANCY SERVICES LTD.,Tata Motors to supply over 900 electric buses to Bengaluru Metropolitan Transport Corporation: Details,2022-12-17,2022-12-17,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it signals a significant contract to supply electric buses, which can boost their revenue and strengthen their position in the electric vehicle market.

9 (Good)",,422.40 (19 december 2022),569.55 (16 june 2023),422.4,569.55,147.15,YES
TATA CONSULTANCY SERVICES LTD.,Tatas & Singapore Airlines agree to merge Vistara into Air India by March 2024,2022-11-29,2022-11-29,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it signifies a strategic move to merge Vistara into Air India, which can lead to potential synergies and growth opportunities in the aviation industry.

8 (Good)",,520.55 (30 november 2022),521.25 (29 may 2023),520.55,521.25,0.7,YES
TATA CONSULTANCY SERVICES LTD.,"Tata Motors enters hydrogen mobility: To develop fuel-cells, BEVs and more with Cummins",2022-11-15,2022-11-15,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as it signifies their entry into hydrogen mobility and partnership with Cummins, which aligns with the trend toward sustainable transportation and can boost investor confidence.

9 (Good)",,437.90 (16 november 2022),530.80 (15 may 2023),437.9,530.8,92.9,YES
TATA MOTORS LTD.,Tata Motors team in Maharashtra to investigate ST bus fires,2022-11-09,2022-11-09,0,TRUE,"UNKNOWN

It's uncertain how this headline will directly impact the stock price of TATA in the short term, as it relates to a specific incident involving ST buses in Maharashtra. The outcome of the investigation may provide more clarity.

5 (Neutral)",,,,,,0,
TATA MOTORS LTD.,Tata-Airbus' C295 aircraft manufacturing facility to be 'big boost' for development of defence industrial complex,2022-10-29,2022-10-29,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of TATA in the short term as their partnership with Airbus for the C295 aircraft manufacturing facility is likely to positively impact their defense sector business and contribute to revenue growth.

8 (Good)",,520.55 (30 october 2022),521.25 (29 april 2023),520.55,521.25,0.7,YES
HDFC Bank Ltd,Sebi disposes of show cause notice issued to HDFC,2022-03-31,2022-03-31,1,TRUE,"YES

Hold the stocks for 30 days.

This headline is good for the stock price of HDFC Bank in the short term as the disposal of the show cause notice by Sebi removes a potential regulatory overhang and uncertainty.

7 (Good)",,"1,474.00  (1 april 2022)","1,403.10 (2 may 2022)","1,474.00","1,403.10",-70.90,NO
HDFC Bank Ltd,HDFC Bank to unveil ‘bank on wheels’,2022-12-23,2022-12-23,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of HDFC Bank in the short term as the introduction of a 'bank on wheels' can potentially expand their reach and services, attracting more customers and boosting revenue.

8 (Good)",,"1,591.00 (26 december 2022)","1,561.75 (24 march 2023)","1,591.00","1,561.75",-29.25,no
HDFC Bank Ltd,HDFC to sell 10% stake in HDFC Capital to ADIA,2022-04-20,2022-04-20,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of HDFC Bank in the short term as the sale of a stake to ADIA can lead to increased liquidity and potentially enhance the bank's financial position.

7 (Good)",,"1,364.90 (21 april 2022)","1,444.15 (18 october 2022)","1,364.90","1,444.15",79.25,yes
HDFC Bank Ltd,HDFC raises home loan interest rates,2022-05-08,2022-05-08,-1,TRUE,"NO

Hold the stocks for 60 days.

This headline is bad for the stock price of HDFC Bank in the short term as it indicates an increase in home loan interest rates, which can potentially reduce demand for housing loans and impact the bank's profitability.

4 (Bad)",,,,,,0,
HDFC Bank Ltd,HDFC Bank to launch revamped PayZapp,2022-10-17,2022-10-17,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of HDFC Bank in the short term as the launch of a revamped PayZapp can enhance their digital payment services, attract more users, and potentially boost revenue.

7 (Good)",,"1,452.00 (18 october 2022)","1,585.25 (16 january 2023)","1,452.00","1,585.25",133.25,yes
HDFC Bank Ltd,HDFC Bank shares rise as central bank lifts curbs on digital ops,2022-03-14,2022-03-14,1,TRUE,"YES

Hold the stocks for 60 days.

This headline is good for the stock price of HDFC Bank in the short term as the removal of curbs on digital operations by the central bank can lead to increased digital transactions and potentially higher profitability.

8 (Good)",,"1,411.00 (14 march 2022)","1,290.95 (13 may 2022)","1,411.00","1,290.95",-120.05,no
HDFC Bank Ltd,Merger of HDFC entities to increase M&A prominence among banks: Fitch,2022-04-12,2022-04-12,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good for the stock price of HDFC Bank in the short term as the merger of HDFC entities is expected to increase their prominence in mergers and acquisitions within the banking sector, potentially attracting investor interest.

7 (Good)",,"1,492.90 (13 april 2022)","1,415.50 (10 october 2022)","1,492.90","1,415.50",-77.40,no
HDFC Bank Ltd,HDFC Bank to acquire 9.94% stake in Go Digit Life Insurance,2022-08-25,2022-08-25,1,TRUE,"YES

Hold the stocks for 120 days.

This headline is good for the stock price of HDFC Bank in the short term as the acquisition of a stake in Go Digit Life Insurance can diversify their portfolio and potentially lead to increased revenue.

8 (Good)",,"1,468.25 (26 august 2022)","1,628.15 (26 december 2022)","1,468.25","1,628.15",159.90,yes
HINDUSTAN UNILEVER LTD.,"HUL board approves hike in royalty, central services fees to Unilever",2023-01-19,2023-01-19,-1,TRUE,"NO


This headline is bad for the stock price of Hindustan Unilever in the short term as it signals an increase in royalty and central services fees to Unilever, which can impact the company's profitability.

3 (Bad)",,,,,,0,
HINDUSTAN UNILEVER LTD.,HUL CEO will have role in Indonesia too,2022-07-01,2022-07-01,0,TRUE,"UNKNOWN

Hold the stocks for 60 days.

The impact of this headline on the stock price of Hindustan Unilever in the short term is uncertain as it depends on the specific role and responsibilities of the CEO in Indonesia and how it may affect the company's operations.

5 (Neutral)",,,,,,0,
HINDUSTAN UNILEVER LTD.,Extend tax sops for new manufacturing units: HUL CEO Sanjiv Mehta,2022-12-17,2022-12-17,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good for the stock price of Hindustan Unilever in the short term as it suggests that the CEO is advocating for tax incentives for new manufacturing units, which can potentially benefit the company's operations and growth.

8 (Good)",,"2,671.00 (19 december 2022)","2,463.20 (21 march 2023)","2,671.00","2,463.20",-207.80,no
HINDUSTAN UNILEVER LTD.,Need MGNREGA-like scheme for urban poor: HUL chief,2022-01-24,2022-01-24,0,TRUE,"UNKNOWN

Hold the stocks for 30 days.

The impact of this headline on the stock price of Hindustan Unilever in the short term is uncertain as it depends on the government's response to the call for a scheme for the urban poor and how it may affect the company's business.

5 (Neutral)",,,,,,0,
HINDUSTAN UNILEVER LTD.,Maharashtra cabinet clears path for HUL to launch bakery operations near Aarey,2023-01-11,2023-01-11,1,TRUE,"YES

Hold the stocks for 60 days.

This headline is good news for the stock price of Hindustan Unilever in the short term as it indicates that the Maharashtra cabinet has cleared the path for the company to launch bakery operations near Aarey, which can lead to potential business expansion and increased revenue.

7 (Good)",,"2,586.00 (12 january 2023)","2,452.90 (13 march 2023)","2,586.00","2,452.90",-133.10,no
HINDUSTAN UNILEVER LTD.,HUL buys stakes in two wellness brands for Rs 334cr,2022-12-09,2022-12-09,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good news for the stock price of Hindustan Unilever in the short term as it indicates the company's investment in wellness brands, which can diversify its product portfolio and potentially boost revenue.

9 (Very Good)",,"2,675.05 (12 december 2022)","2,679.85 (8 june 2023)","2,675.05","2,679.85",4.80,yes
HINDUSTAN UNILEVER LTD.,Mehta retains top position at HUL as Unilever rejigs business model,2022-01-26,2022-01-26,1,TRUE,"YES

Hold the stocks for 90 days.

This headline is good news for the stock price of Hindustan Unilever in the short term as it signifies stability and continuity in the company's leadership, which can instill confidence among investors.

7 (Good)",,"2,410.00 (27 january 2022)","2,144.25 (27 april 2022)","2,410.00","2,144.25",-265.75,no
INFOSYS LTD.,Infosys announces 5-year deal with European telecom company: Order value and other details,2023-08-16,2023-08-16,1,TRUE,"YES

Hold the stocks for 180 days.

This headline is good news for the stock price of Infosys in the short term as it indicates a significant business deal that can boost the company's revenue and reputation.

8 (Good)",,(17 august 2023),(13 february 2024),,,0,
INFOSYS LTD.,SEBI sends 'warning letter' to Infosys on updation delay,2023-08-10,2023-08-10,-1,TRUE,"NO

Hold the stocks for 30 days.

This headline is bad news for the stock price of Infosys in the short term as it suggests regulatory scrutiny and potential concerns regarding the company's compliance, which can impact investor confidence.

3 (Bad)",,,,,,0,
INFOSYS LTD.,Infosys Becomes Digital Innovation Partner for International Tennis Hall of Fame and Title Sponsor of the hall of fame open,2022-03-10,2022-03-10,1,TRUE,"YES

Hold the stocks for 60 days.

This headline is good news for the stock price of Infosys in the short term, as it indicates a strategic partnership that can enhance the company's brand visibility and potentially lead to new business opportunities.

8 (Good)",,"1,814.00 (11 march 2022)","1,553.60 (10 may 2022)","1,814.00","1,553.60",-260.40,no
INFOSYS LTD.,"Infosys does not support dual employment, have fired violators in last 12 months: Salil Parekh",2022-10-13,2022-10-13,1,TRUE,"YES

Hold the stocks for 30 days.

This headline is good news for the stock price of Infosys in the short term, as it demonstrates the company's commitment to ethical practices and employee discipline, which can enhance its reputation.

7 (Good)",,"1,487.70 (14 october 2022)","1,584.00 (14 november 2022)","1,487.70","1,584.00",96.30,no
INFOSYS LTD.,Infosys plays down Russia ties after UK finance chief grilled,2022-03-25,2022-03-25,0,TRUE,"UNKNOWN

Hold the stocks for 15 days.

This headline could have varying impacts on Infosys' stock price in the short term, as it depends on the extent of its ties with Russia and the market's perception of those ties.

5 (Neutral)",,,,,,0,
INFOSYS LTD.,Infosys reimagines career mobility for employees,2022-09-27,2022-09-27,1,TRUE,"YES

Hold the stocks for 30 days.

This headline is likely to be viewed positively by investors, indicating that Infosys is taking steps to enhance career opportunities for its employees, which can improve morale and productivity.

8 (Good)",,"1,381.90 (28 september 2022)","1,512.60 (28 october 2022)","1,381.90","1,512.60",130.70,no
INFOSYS LTD.,Infosys president Ravi Kumar S resigns after 20 years with firm,2022-10-12,2022-10-12,0,TRUE,"UNKNOWN

It's uncertain how the market will react to the resignation of Infosys president Ravi Kumar S in the short term. Investors may need more information about the reasons behind the resignation and its potential impact on the company.

5 (Neutral)",,,,,,0,
INFOSYS LTD.,Situation in Ukraine hasn't impacted demand among European clients: Infosys CEO,2022-04-19T07:00:00Z,2022-04-19,1,TRUE,"YES
Hold for 7 days.
This headline is good news for Infosys, with a score of 8, as it indicates that the situation in Ukraine hasn't affected the demand from European clients, which could positively impact the stock in the short term.",,"1,575.00 (20 april 2022)","1,553.20 (27 april 2022)","1,575.00","1,553.20",-21.80,no
INFOSYS LTD.,"PM hails Infosys, Sudha Murthy for service to humanity",2021-10-22T07:00:00Z,2021-10-22,0,TRUE,"UNKNOWN
Hold for 3 days.
The headline regarding praise from the Prime Minister for Infosys and Sudha Murthy's service to humanity may have some positive sentiment, but its direct impact on Infosys stock in the short term is uncertain and would require further analysis. It could potentially have a slight positive influence, but the magnitude is uncertain. Therefore, the score is 5 on the scale of 1 to 10.",,,,,,0,
INFOSYS LTD.,Infosys CEO signals M&A ramp-up as economic outlook brightens,2023-01-20T08:00:00Z,2023-01-20,1,TRUE,"YES
Hold for 90 days.
This headline is good news for Infosys in the short term, with a score of 9, as it suggests that the CEO's signal of a merger and acquisition ramp-up amid a brighter economic outlook could boost investor confidence and drive stock price growth over the next few months.",,"1,534.00 (23 january 2023)","1,227.45 (21 april 2023)","1,534.00","1,227.45",-306.55,no
INFOSYS LTD.,"Govt mulls extending April GST payment deadline, ask Infosys to fix glitch on portal",2022-05-17T07:00:00Z,2022-05-17,-1,TRUE,"NO
Hold for 7 days.
This headline is bad news for Infosys in the short term, with a score of 3, as it indicates that the government is considering extending the GST payment deadline due to glitches on Infosys' portal, which could lead to financial uncertainties and potential reputational damage for the company in the near term.",,,,,,0,
INFOSYS LTD.,Former US hiring executive sues Infosys over biases,2022-10-07T07:00:00Z,2022-10-07,-1,TRUE,"NO
Hold for 30 days.
This headline is bad news for Infosys in the short term, with a score of 4, as a lawsuit alleging biases in hiring practices can lead to legal challenges and potential damage to the company's reputation, which may negatively impact its stock price over the next month.",,,,,,0,
INFOSYS LTD.,Infosys opens Sweden base in Nordic push,2022-12-06T08:00:00Z,2022-12-06,1,TRUE,"YES
Hold for 90 days.
This headline is good news for Infosys in the short term, with a score of 7, as it indicates the company's expansion into Sweden as part of its Nordic push, which can potentially open up new revenue opportunities and positively impact the stock price over the next three months.",,"1,612.95 (7 december 2022)","1,492.50 (8 march 2023)","1,612.95","1,492.50",-120.45,no
INFOSYS LTD.,Safe Security and Infosys collaborate for cybersecurity solution,2022-01-27T08:00:00Z,2022-01-27,1,TRUE,"YES
Hold for 180 days.
This headline is good news for Infosys in the short term, with a score of 8, as collaboration with Safe Security for a cybersecurity solution can enhance Infosys' portfolio and potentially attract more clients, positively impacting the stock price over the next six months.",,"1,685.00 (28 january 2022)","1,471.20 (27 july 2022)","1,685.00","1,471.20",-213.80,no
ITC LTD.,ITC reaffirms commitment to ramp up interventions in climate smart agriculture,2022-12-23T08:00:00Z,2022-12-23,0,TRUE,"UNKNOWN

It's uncertain how this news will specifically impact ITC's stock price in the short term.

Rating: 5 (Neutral)",,,,,,0,
ITC LTD.,ITC Sunfeast unveils new milk biscuit with focus on TN market,2022-12-21T08:00:00Z,2022-12-21,1,TRUE,"YES

You should consider holding ITC stocks for approximately 30 days.

Rating: 7 (Good)",,335.00 (22 december 2022),337.60 (23 january 2023),335,337.6,2.6,yes
ITC LTD.,Impact of inadvertent or wrongful ineligible ITC claims in Table 4 of GSTR-3B,2022-10-04T07:00:00Z,2022-10-04,0,TRUE,"UNKNOWN

It's uncertain how the impact of inadvertent or wrongful ineligible ITC claims in Table 4 of GSTR-3B will affect ITC's stock price in the short term.

Rating: 3 (Neutral)",,,,,,0,
ITC LTD.,ITC Hotels signs up 5 more ‘Storii’ properties,2022-09-21T07:00:00Z,2022-09-21,0,TRUE,"UNKNOWN
Hold for 7 days.
The impact of this news on the stock price of ITC in the short term is uncertain as it relates to ITC Hotels, which is a subsidiary of ITC Limited but may not have an immediate and direct impact on the overall company's performance.",,,,,,0,
ITC LTD.,ITC takes nutrition-first approach with ‘Help India Eat Better’ framework,2022-09-20T07:00:00Z,2022-09-20,1,TRUE,"YES
Hold for 30 days.
This headline is likely to be perceived positively by investors as it suggests that ITC is adopting a nutrition-first approach, which can enhance its image and potentially lead to increased consumer trust and demand for its products. I would rate this as a 9 out of 10 in terms of positive impact on ITC's stock price in the short term.",,306.00 (12 august 2022),330.80 (12 september 2022),306,330.8,24.8,yes
ITC LTD.,"ITC to invest 1,000 crore in Gujarat",2022-08-11T07:00:00Z,2022-08-11,1,TRUE,"YES
Hold for 90 days.
This headline is good news for ITC in the short term, as the significant investment in Gujarat can potentially lead to business expansion and growth opportunities. I would rate it as an 8 out of 10 in terms of positive impact on ITC's stock price in the short term.",,313.10 (11 august 2022),360.50 (9 november 2022),313.1,360.5,47.4,yes
ITC LTD.,Metal company director held in 7cr ITC fraud,2022-07-29T07:00:00Z,2022-07-29,-1,TRUE,"NO
Avoid buying ITC stock in the short term.
This headline is bad news for ITC's stock price in the short term, as it indicates a fraud case involving a metal company director and a significant financial loss for ITC. I would rate this as a 2 out of 10 in terms of negative impact on ITC's stock price.",,,,,,0,
ITC LTD.,MGST department arrests Kurla businessman in connection with ITC scam,2022-07-21T07:00:00Z,2022-07-21,-1,TRUE,"NO
Avoid buying ITC stock in the short term.
This headline is bad news for ITC's stock price in the short term, as it indicates legal trouble and a potential scam involving the company. I would rate this as a 3 out of 10 in terms of negative impact on ITC's stock price.",,,,,,0,
